change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,3,3.0,"Graphic Content Facebook has long been a place where people turn to share their experiences and raise awareness about issues important to them. Sometimes, those experiences and issues involve graphic content that is of public interest or concern, such as human rights abuses or acts of terrorism. In many instances, when people share this type of content, it is to condemn it. However, graphic images shared for sadistic effect or to celebrate or glorify violence have no place on our site. When people share any content, we expect that they will share in a responsible manner. That includes choosing carefully the audience for the content. For graphic videos, people should warn their audience about the nature of the content in the video so that their audience can make an informed choice about whether to watch it. Nudity and Pornography Facebook has a strict policy against the sharing of pornographic content and any explicitly sexual content where a minor is involved. We also impose limitations on the display of nudity. We aspire to respect people’s right to share content of personal importance, whether those are photos of a sculpture like Michelangelo's David or family photos of a child breastfeeding. Identity and Privacy On Facebook people connect using their real names and identities. We ask that you refrain from publishing the personal information of others without their consent. Claiming to be another person, creating a false presence for an organization, or creating multiple accounts undermines community and violates Facebook's terms.","Graphic Content Facebook has long been a place where people turn to share their experiences and raise awareness about issues important to them. Sometimes, those experiences and issues involve graphic content that is of public interest or concern, such as human rights abuses or acts of terrorism. In many instances, when people share this type of content, it is to condemn it. However, graphic images shared for sadistic effect or to celebrate or glorify violence have no place on our site. When people share any content, we expect that they will share in a responsible manner. That includes choosing carefully the audience for the content. For graphic videos, people should warn their audience about the nature of the content in the video so that their audience can make an informed choice about whether to watch it.",0.889,"  Graphic   Content   Facebook   has   long   been   a   place   where   people   turn   to   share   their   experiences   and   raise   awareness   about   issues   important   to   them.   Sometimes,   those   experiences   and   issues   involve   graphic   content   that   is   of   public   interest   or   concern,   such   as   human   rights   abuses   or   acts   of   terrorism.   In   many   instances,   when   people   share   this   type   of   content,   it   is   to   condemn   it.   However,   graphic   images   shared   for   sadistic   effect   or   to   celebrate   or   glorify   violence   have   no   place   on   our   site.   When   people   share   any   content,   we   expect   that   they   will   share   in   a   responsible   manner.   That   includes   choosing   carefully   the   audience   for   the   content.   For   graphic   videos,   people   should   warn   their   audience   about   the   nature   of   the   content   in   the   video   so   that   their   audience   can   make   an   informed   choice   about   whether   to   watch   it. - Nudity - and - Pornography - Facebook - has - a - strict - policy - against - the - sharing - of - pornographic - content - and - any - explicitly - sexual - content - where - a - minor - is - involved. - We - also - impose - limitations - on - the - display - of - nudity. - We - aspire - to - respect - people’s - right - to - share - content - of - personal - importance, - whether - those - are - photos - of - a - sculpture - like - Michelangelo's - David - or - family - photos - of - a - child - breastfeeding. - Identity - and - Privacy - On - Facebook - people - connect - using - their - real - names - and - identities. - We - ask - that - you - refrain - from - publishing - the - personal - information - of - others - without - their - consent. - Claiming - to - be - another - person, - creating - a - false - presence - for - an - organization, - or - creating - multiple - accounts - undermines - community - and - violates - Facebook's - terms."
modified/added,14,9.0,Apps,Mobile,0.621,- Apps + Mobile
modified/added,16,15.0,Music,Games,0.453,- Music + Games
modified/added,18,13.0,Topics,Pages,0.399,- Topics + Pages
deleted,3,,"Graphic Content Facebook has long been a place where people turn to share their experiences and raise awareness about issues important to them. Sometimes, those experiences and issues involve graphic content that is of public interest or concern, such as human rights abuses or acts of terrorism. In many instances, when people share this type of content, it is to condemn it. However, graphic images shared for sadistic effect or to celebrate or glorify violence have no place on our site. When people share any content, we expect that they will share in a responsible manner. That includes choosing carefully the audience for the content. For graphic videos, people should warn their audience about the nature of the content in the video so that their audience can make an informed choice about whether to watch it. Nudity and Pornography Facebook has a strict policy against the sharing of pornographic content and any explicitly sexual content where a minor is involved. We also impose limitations on the display of nudity. We aspire to respect people’s right to share content of personal importance, whether those are photos of a sculpture like Michelangelo's David or family photos of a child breastfeeding. Identity and Privacy On Facebook people connect using their real names and identities. We ask that you refrain from publishing the personal information of others without their consent. Claiming to be another person, creating a false presence for an organization, or creating multiple accounts undermines community and violates Facebook's terms.",,0.889,
deleted,14,,Apps,,0.621,
deleted,16,,Music,,0.453,
deleted,18,,Topics,,0.399,
