change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,6,6.0,Oversight,Oversight How to appeal to the Oversight Board Oversight Board cases Oversight Board recommendations Creating the Oversight Board Oversight Board: Further asked questions Meta’s Quarterly Updates on the Oversight Board,0.599,  Oversight + How + to + appeal + to + the + Oversight + Board + Oversight + Board + cases + Oversight + Board + recommendations + Creating + the + Oversight + Board + Oversight + Board: + Further + asked + questions + Meta’s + Quarterly + Updates + on + the + Oversight + Board
modified/added,20,20.0,"Community Standards Our Community Standards apply to everyone, all around the world, and to all types of content.","Community Standards Our Community Standards apply to everyone, all around the world, and to all types of content. Each section of our Community Standards starts with a “Policy Rationale” that sets out the aims of the policy followed by specific policy lines that outline: Content that's not allowed; and Content that requires additional information or context to enforce on, content that is allowed with a warning screen or content that is allowed but can only be viewed by adults aged 18 and older.",0.825,"  Community   Standards   Our   Community   Standards   apply   to   everyone,   all   around   the   world,   and   to   all   types   of   content. + Each + section + of + our + Community + Standards + starts + with + a + “Policy + Rationale” + that + sets + out + the + aims + of + the + policy + followed + by + specific + policy + lines + that + outline: + Content + that's + not + allowed; + and + Content + that + requires + additional + information + or + context + to + enforce + on, + content + that + is + allowed + with + a + warning + screen + or + content + that + is + allowed + but + can + only + be + viewed + by + adults + aged + 18 + and + older."
modified/added,22,22.0,"SAFETY Suicide and Self-Injury Child Sexual Exploitation, Abuse and Nudity Sexual Exploitation of Adults Bullying and Harassment","SAFETY Suicide and Self-Injury Child Sexual Exploitation, Abuse and Nudity",0.895,"  SAFETY   Suicide   and   Self-Injury   Child   Sexual   Exploitation,   Abuse   and   Nudity - Sexual - Exploitation - of - Adults - Bullying - and - Harassment"
modified/added,32,33.0,False News,Misinformation,0.46,+ Misinformation - False - News
modified/added,33,26.0,Manipulated Media,OBJECTIONABLE CONTENT,0.4,- Manipulated - Media + OBJECTIONABLE + CONTENT
modified/added,45,6.0,OVERSIGHT,Oversight How to appeal to the Oversight Board Oversight Board cases Oversight Board recommendations Creating the Oversight Board Oversight Board: Further asked questions Meta’s Quarterly Updates on the Oversight Board,0.599,- OVERSIGHT + Oversight + How + to + appeal + to + the + Oversight + Board + Oversight + Board + cases + Oversight + Board + recommendations + Creating + the + Oversight + Board + Oversight + Board: + Further + asked + questions + Meta’s + Quarterly + Updates + on + the + Oversight + Board
deleted,6,,Oversight,,0.599,
deleted,20,,"Community Standards Our Community Standards apply to everyone, all around the world, and to all types of content.",,0.825,
deleted,22,,"SAFETY Suicide and Self-Injury Child Sexual Exploitation, Abuse and Nudity Sexual Exploitation of Adults Bullying and Harassment",,0.895,
deleted,32,,False News,,0.46,
deleted,33,,Manipulated Media,,0.4,
deleted,45,,OVERSIGHT,,0.599,
