change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,0,2.0,Community standards | Facebook Jump to Sections of this page Other pages on Facebook Accessibility help,"INTRODUCTION Every day, people use Facebook to share their experiences, connect with friends and family, and build communities. We are a service for more than two billion people to freely express themselves across countries and cultures and in dozens of languages. We recognize how important it is for Facebook to be a place where people feel empowered to communicate, and we take seriously our role in keeping abuse off our service. That’s why we’ve developed a set of Community Standards that outline what is and is not allowed on Facebook. Our policies are based on feedback from our community and the advice of experts in fields such as technology, public safety and human rights. To ensure that everyone’s voice is valued, we take great care to craft policies that are inclusive of different views and beliefs, in particular those of people and communities that might otherwise be overlooked or marginalized.",0.568,"+ INTRODUCTION + Every + day, + people + use + Facebook + to + share + their + experiences, + connect + with + friends + and + family, + and + build + communities. + We + are + a + service + for + more + than + two + billion + people + to + freely + express + themselves + across + countries + and + cultures + and + in + dozens + of + languages. + We + recognize + how + important + it + is + for + Facebook + to + be + a + place + where + people + feel + empowered + to + communicate, + and + we + take + seriously + our + role + in + keeping + abuse + off + our + service. + That’s + why + we’ve + developed + a + set + of   Community - standards ? ^
 + Standards ? ^
 - | + that + outline + what + is + and + is + not + allowed + on - Facebook + Facebook. ?         +
 - Jump + Our + policies + are + based + on + feedback + from + our + community + and + the + advice + of + experts + in + fields + such + as + technology, + public + safety + and + human + rights. + To + ensure + that + everyone’s + voice + is + valued, + we + take + great + care   to - Sections + craft + policies + that + are + inclusive   of - this - page - Other - pages - on - Facebook - Accessibility - help + different + views + and + beliefs, + in + particular + those + of + people + and + communities + that + might + otherwise + be + overlooked + or + marginalized."
modified/added,1,2.0,"Community Standards Our mission is to give people the power to share and make the world more open and connected. Every day, people come to Facebook to share their stories, see the world through the eyes of others and connect with friends and causes. The conversations that happen on Facebook reflect the diversity of a community of more than one billion people. We want people to feel safe when using Facebook. For that reason, we've developed a set of Community Standards, outlined below. These policies will help you understand what type of sharing is allowed on Facebook, and what type of content may be reported to us and removed. Because of the diversity of our global community, please bear in mind that something that may be disagreeable or disturbing to you may not violate our Community Standards. Learn more about how it works Read a letter from our team Helping to keep you safe Encouraging respectful behaviour Keeping your account and personal information secure Protecting your intellectual property Reporting abuse Our global community is growing every day, and we strive to welcome people to an environment that is free from abusive content. To do this, we rely on people like you. If you see something on Facebook that you believe violates our terms, please report it to us We have dedicated teams working around the world to review things you report to help make sure Facebook remains safe. Governments also sometimes ask us to remove content that violates local laws but does not violate our Community Standards. If after careful legal review we find that the content is illegal under local law, then we may make it unavailable only in the relevant country or territory. Please bear the following in mind: We may take action whenever something violates the Community Standards outlined here. We may ask Page owners to associate their name and Facebook Profile with a Page that contains cruel and insensitive content, even if that content does not violate our policies. Reporting something doesn't guarantee that it will be removed because it may not violate our policies. Our content reviewers will look to you for information about why a post may violate our policies. If you report content, please tell us why the content should be removed (e.g. is it nudity or hate speech?) so that we can send it to the right person for review. Our review decisions may occasionally change after receiving additional context about specific posts or after seeing new, violating content appearing on a Page or Facebook Profile. The number of reports does not impact whether something will be removed. We never remove content simply because it has been reported a number of times. The consequences for violating our Community Standards vary depending on the severity of the violation and the person's history on Facebook. For instance, we may warn someone for a first violation, but if we continue to see further violations we may restrict a person's ability to post on Facebook or ban the person from Facebook. Not all disagreeable or disturbing content violates our Community Standards. For this reason, we offer you the ability to customise and control what you see by unfollowing, blocking and hiding the posts, people, Pages and applications you don't want to see – and we encourage you to use these controls to better personalise your experience. Learn more People also often resolve issues they have about a piece of content by simply getting in touch with the person who posted it. We've created tools for you to communicate directly with other people when you're unhappy with posts, photos or other content you see on Facebook. Reporting abuse Controlling what you see","INTRODUCTION Every day, people use Facebook to share their experiences, connect with friends and family, and build communities. We are a service for more than two billion people to freely express themselves across countries and cultures and in dozens of languages. We recognize how important it is for Facebook to be a place where people feel empowered to communicate, and we take seriously our role in keeping abuse off our service. That’s why we’ve developed a set of Community Standards that outline what is and is not allowed on Facebook. Our policies are based on feedback from our community and the advice of experts in fields such as technology, public safety and human rights. To ensure that everyone’s voice is valued, we take great care to craft policies that are inclusive of different views and beliefs, in particular those of people and communities that might otherwise be overlooked or marginalized.",0.783,"+ INTRODUCTION - Community - Standards - Our - mission - is - to - give - people - the - power - to - share - and - make - the - world - more - open - and - connected.   Every   day,   people + use - come - to   Facebook   to   share   their + experiences, - stories, - see - the - world - through - the - eyes - of - others - and   connect   with   friends   and + family, + and + build + communities. + We + are - causes. - The - conversations - that - happen - on - Facebook - reflect - the - diversity - of   a - community - of + service + for   more   than - one + two   billion - people. - We - want   people   to + freely + express + themselves + across + countries + and + cultures + and + in + dozens + of + languages. + We + recognize + how + important + it + is + for + Facebook + to + be + a + place + where + people   feel - safe - when - using - Facebook. - For - that - reason, + empowered + to + communicate, + and + we + take + seriously + our + role + in + keeping + abuse + off + our + service. + That’s + why - we've ?   ^
 + we’ve ?   ^
   developed   a   set   of   Community - Standards, ?          -
 + Standards + that - outlined ?        -
 + outline - below. - These - policies - will - help - you - understand   what - type - of - sharing   is + and + is + not   allowed   on - Facebook, ?         ^
 + Facebook. ?         ^
 + Our + policies + are + based + on + feedback - and - what - type - of - content - may - be - reported - to - us - and - removed. - Because - of - the - diversity - of - our - global - community, - please - bear - in - mind - that - something - that - may - be - disagreeable - or - disturbing - to - you - may - not - violate - our - Community - Standards. - Learn - more - about - how - it - works - Read - a - letter   from   our - team - Helping - to - keep - you - safe - Encouraging - respectful - behaviour - Keeping - your - account - and - personal - information - secure - Protecting - your - intellectual - property - Reporting - abuse - Our - global   community - is - growing - every - day, - and - we - strive - to - welcome - people - to - an - environment - that - is - free - from - abusive - content. - To - do - this, - we - rely - on - people - like - you. - If - you - see - something - on - Facebook - that - you - believe - violates - our - terms, - please - report - it - to - us - We - have - dedicated - teams - working - around - the - world - to - review - things - you - report - to - help - make - sure - Facebook - remains - safe. - Governments - also - sometimes - ask - us - to - remove - content - that - violates - local - laws - but - does - not - violate - our - Community - Standards. - If - after - careful - legal - review - we - find - that - the - content - is - illegal - under - local - law, - then - we - may - make - it - unavailable - only - in - the - relevant - country - or - territory. - Please - bear - the - following - in - mind: - We - may - take - action - whenever - something - violates - the - Community - Standards - outlined - here. - We - may - ask - Page - owners - to - associate - their - name - and - Facebook - Profile - with - a - Page - that - contains - cruel - and - insensitive - content, - even - if - that - content - does - not - violate - our - policies. - Reporting - something - doesn't - guarantee - that - it - will - be - removed - because - it - may - not - violate - our - policies. - Our - content - reviewers - will - look - to - you - for - information - about - why - a - post - may - violate - our - policies. - If - you - report - content, - please - tell - us - why - the - content - should - be - removed - (e.g. - is - it - nudity - or - hate - speech?) - so - that - we - can - send - it - to - the - right - person - for - review. - Our - review - decisions - may - occasionally - change - after - receiving - additional - context - about - specific - posts - or - after - seeing - new, - violating - content - appearing - on - a - Page - or - Facebook - Profile. - The - number - of - reports - does - not - impact - whether - something - will - be - removed. - We - never - remove - content - simply - because - it - has - been - reported - a - number - of - times. - The - consequences - for - violating - our - Community - Standards - vary - depending - on - the - severity - of - the - violation   and   the - person's - history - on - Facebook. - For - instance, + advice + of + experts + in + fields + such + as + technology, + public + safety + and + human + rights. + To + ensure + that + everyone’s + voice + is + valued,   we + take + great + care - may - warn - someone - for - a - first - violation, - but - if - we - continue   to - see - further - violations - we - may - restrict - a - person's - ability - to - post - on - Facebook + craft + policies + that + are + inclusive + of + different + views + and + beliefs, + in + particular + those + of + people + and + communities + that + might + otherwise + be + overlooked   or + marginalized. - ban - the - person - from - Facebook. - Not - all - disagreeable - or - disturbing - content - violates - our - Community - Standards. - For - this - reason, - we - offer - you - the - ability - to - customise - and - control - what - you - see - by - unfollowing, - blocking - and - hiding - the - posts, - people, - Pages - and - applications - you - don't - want - to - see - – - and - we - encourage - you - to - use - these - controls - to - better - personalise - your - experience. - Learn - more - People - also - often - resolve - issues - they - have - about - a - piece - of - content - by - simply - getting - in - touch - with - the - person - who - posted - it. - We've - created - tools - for - you - to - communicate - directly - with - other - people - when - you're - unhappy - with - posts, - photos - or - other - content - you - see - on - Facebook. - Reporting - abuse - Controlling - what - you - see"
modified/added,2,0.0,Communication Tools,Community Standards,0.237,- Communication - Tools + Community + Standards
modified/added,3,19.0,Log In,Report Abuse,0.24,- Log - In + Report + Abuse
modified/added,4,18.0,Messenger,Additional Information Facebook © 2020,0.334,- Messenger + Additional + Information + Facebook + © + 2020
modified/added,5,18.0,Facebook Lite,Additional Information Facebook © 2020,0.612,+ Additional + Information   Facebook - Lite + © + 2020
modified/added,6,18.0,Mobile,Additional Information Facebook © 2020,0.273,- Mobile + Additional + Information + Facebook + © + 2020
modified/added,7,18.0,Find Friends,Additional Information Facebook © 2020,0.239,- Find - Friends + Additional + Information + Facebook + © + 2020
modified/added,8,10.0,People,Safety,0.293,- People + Safety
modified/added,9,17.0,Pages,Content-Related Requests,0.328,- Pages + Content-Related + Requests
