change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,10,10.0,Places,Safety,0.26,- Places + Safety
modified/added,11,14.0,Games,V.,0.301,- Games + V.
modified/added,12,10.0,Locations,Safety,0.29,- Locations + Safety
modified/added,13,18.0,Celebrities,Additional Information Facebook © 2020,0.288,- Celebrities + Additional + Information + Facebook + © + 2020
modified/added,14,13.0,Marketplace,IV. Integrity and Authenticity,0.285,- Marketplace + IV. + Integrity + and + Authenticity
modified/added,15,11.0,Groups,III.,0.293,- Groups + III.
modified/added,16,17.0,Recipes,Content-Related Requests,0.215,- Recipes + Content-Related + Requests
modified/added,17,10.0,Sports,Safety,0.33,- Sports + Safety
modified/added,18,16.0,Look,VI.,0.278,- Look + VI.
modified/added,19,11.0,Moments,III.,0.283,- Moments + III.
modified/added,20,18.0,Instagram,Additional Information Facebook © 2020,0.386,- Instagram + Additional + Information + Facebook + © + 2020
modified/added,21,11.0,About,III.,0.315,- About + III.
modified/added,22,18.0,Create Ad,Additional Information Facebook © 2020,0.202,- Create - Ad + Additional + Information + Facebook + © + 2020
modified/added,23,12.0,Create Page,Objectionable Content,0.162,- Create - Page + Objectionable + Content
modified/added,24,15.0,Developers,Respecting Intellectual Property,0.278,- Developers + Respecting + Intellectual + Property
modified/added,25,11.0,Careers,III.,0.29,- Careers + III.
modified/added,26,6.0,Privacy,"Privacy: We are committed to protecting personal privacy and information. Privacy gives people the freedom to be themselves, and to choose how and when to share on Facebook and to connect more easily.",0.701,"+ Privacy: + We + are + committed + to + protecting + personal + privacy + and + information.   Privacy + gives + people + the + freedom + to + be + themselves, + and + to + choose + how + and + when + to + share + on + Facebook + and + to + connect + more + easily."
modified/added,27,11.0,Cookies,III.,0.261,- Cookies + III.
modified/added,28,11.0,AdChoices,III.,0.258,- AdChoices + III.
modified/added,29,11.0,Terms,III.,0.378,- Terms + III.
modified/added,30,19.0,Help,Report Abuse,0.336,- Help + Report + Abuse
modified/added,31,0.0,Settings,Community Standards,0.231,- Settings + Community + Standards
modified/added,32,18.0,Activity Log Facebook © 2017,Additional Information Facebook © 2020,0.647,- Activity - Log + Additional + Information   Facebook   © - 2017 + 2020
deleted,0,,Community standards | Facebook Jump to Sections of this page Other pages on Facebook Accessibility help,,0.568,
deleted,1,,"Community Standards Our mission is to give people the power to share and make the world more open and connected. Every day, people come to Facebook to share their stories, see the world through the eyes of others and connect with friends and causes. The conversations that happen on Facebook reflect the diversity of a community of more than one billion people. We want people to feel safe when using Facebook. For that reason, we've developed a set of Community Standards, outlined below. These policies will help you understand what type of sharing is allowed on Facebook, and what type of content may be reported to us and removed. Because of the diversity of our global community, please bear in mind that something that may be disagreeable or disturbing to you may not violate our Community Standards. Learn more about how it works Read a letter from our team Helping to keep you safe Encouraging respectful behaviour Keeping your account and personal information secure Protecting your intellectual property Reporting abuse Our global community is growing every day, and we strive to welcome people to an environment that is free from abusive content. To do this, we rely on people like you. If you see something on Facebook that you believe violates our terms, please report it to us We have dedicated teams working around the world to review things you report to help make sure Facebook remains safe. Governments also sometimes ask us to remove content that violates local laws but does not violate our Community Standards. If after careful legal review we find that the content is illegal under local law, then we may make it unavailable only in the relevant country or territory. Please bear the following in mind: We may take action whenever something violates the Community Standards outlined here. We may ask Page owners to associate their name and Facebook Profile with a Page that contains cruel and insensitive content, even if that content does not violate our policies. Reporting something doesn't guarantee that it will be removed because it may not violate our policies. Our content reviewers will look to you for information about why a post may violate our policies. If you report content, please tell us why the content should be removed (e.g. is it nudity or hate speech?) so that we can send it to the right person for review. Our review decisions may occasionally change after receiving additional context about specific posts or after seeing new, violating content appearing on a Page or Facebook Profile. The number of reports does not impact whether something will be removed. We never remove content simply because it has been reported a number of times. The consequences for violating our Community Standards vary depending on the severity of the violation and the person's history on Facebook. For instance, we may warn someone for a first violation, but if we continue to see further violations we may restrict a person's ability to post on Facebook or ban the person from Facebook. Not all disagreeable or disturbing content violates our Community Standards. For this reason, we offer you the ability to customise and control what you see by unfollowing, blocking and hiding the posts, people, Pages and applications you don't want to see – and we encourage you to use these controls to better personalise your experience. Learn more People also often resolve issues they have about a piece of content by simply getting in touch with the person who posted it. We've created tools for you to communicate directly with other people when you're unhappy with posts, photos or other content you see on Facebook. Reporting abuse Controlling what you see",,0.783,
deleted,2,,Communication Tools,,0.237,
deleted,3,,Log In,,0.24,
deleted,4,,Messenger,,0.334,
deleted,5,,Facebook Lite,,0.612,
deleted,6,,Mobile,,0.273,
deleted,7,,Find Friends,,0.239,
deleted,8,,People,,0.293,
deleted,9,,Pages,,0.328,
deleted,10,,Places,,0.26,
deleted,11,,Games,,0.301,
deleted,12,,Locations,,0.29,
deleted,13,,Celebrities,,0.288,
deleted,14,,Marketplace,,0.285,
deleted,15,,Groups,,0.293,
deleted,16,,Recipes,,0.215,
deleted,17,,Sports,,0.33,
deleted,18,,Look,,0.278,
deleted,19,,Moments,,0.283,
deleted,20,,Instagram,,0.386,
deleted,21,,About,,0.315,
deleted,22,,Create Ad,,0.202,
deleted,23,,Create Page,,0.162,
deleted,24,,Developers,,0.278,
deleted,25,,Careers,,0.29,
deleted,26,,Privacy,,0.701,
deleted,27,,Cookies,,0.261,
deleted,28,,AdChoices,,0.258,
deleted,29,,Terms,,0.378,
deleted,30,,Help,,0.336,
deleted,31,,Settings,,0.231,
deleted,32,,Activity Log Facebook © 2017,,0.647,
