change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,0,0.0,"Facebook Community Standards Facebook is a global community where millions of people connect with each other. Each of these people represents unique opinions, ideals, and cultural values. Out of consideration for this diversity, we work to foster an environment where everyone can openly discuss issues and express their views, while respecting the rights of others. When millions of people get together to share things that are important to them, sometimes these discussions and posts include controversial topics and content. We believe this online dialog mirrors the exchange of ideas and opinions that happens throughout people's lives offline, in conversations at home, at work, in cafes, and in classrooms. As a trusted community of friends, family, coworkers, and classmates, Facebook is largely self-regulated. People who use Facebook can and do report content that they find questionable or offensive. To balance the needs and interests of a global community we ask everyone to respect the following content standards:","Facebook Community Standards Facebook gives people around the world the power to publish their own stories, see the world through the eyes of many other people, and connect and share wherever they go. The conversation that happens on Facebook – and the opinions expressed here – mirror the diversity of the people using Facebook. To balance the needs and interests of a global population, Facebook protects expression that meets the community standards outlined on this page. Please review these standards. They will help you understand what type of expression is acceptable, and what type of content may be reported and removed. Violence and Threats Safety is Facebook's top priority. You may not credibly threaten to harm others, or organize acts of real-world violence. We remove content and may escalate to law enforcement when we perceive a genuine risk of physical harm, or a direct threat to public safety. We also prohibit promoting, planning or celebrating any of your actions if they have, or could, result in financial harm to others, including theft and vandalism.",0.761,"  Facebook   Community   Standards   Facebook - is - a - global - community - where - millions + gives + people + around + the + world + the + power + to + publish + their + own + stories, + see + the + world + through + the + eyes   of + many + other - people + people, ?       +
 + and   connect - with - each - other. - Each - of - these - people - represents - unique - opinions, - ideals,   and - cultural - values. - Out - of - consideration - for - this - diversity, - we - work - to - foster - an - environment - where - everyone - can - openly - discuss - issues - and - express - their - views, - while - respecting - the - rights - of - others. - When - millions - of - people - get - together - to   share + wherever - things - that - are - important - to - them, - sometimes - these - discussions - and - posts - include - controversial - topics - and - content. - We - believe - this - online - dialog - mirrors - the + they ?    +
 + go. + The + conversation - exchange - of - ideas - and - opinions   that   happens + on + Facebook + – - throughout - people's - lives - offline, - in - conversations - at - home, - at - work, - in - cafes,   and - in - classrooms. - As - a - trusted - community + the + opinions + expressed + here + – + mirror + the + diversity   of + the + people + using - friends, - family, - coworkers, - and - classmates, - Facebook + Facebook. ?         +
 - is - largely - self-regulated. - People - who - use - Facebook - can - and - do - report - content - that - they - find - questionable - or - offensive.   To   balance   the   needs   and   interests   of   a   global + population, + Facebook + protects + expression + that + meets + the   community + standards + outlined + on + this + page. + Please + review + these + standards. + They + will + help + you + understand + what + type + of + expression + is + acceptable, + and + what + type + of + content + may + be + reported + and + removed. + Violence + and + Threats + Safety + is + Facebook's + top + priority. + You + may + not + credibly + threaten + to + harm + others, + or + organize + acts + of + real-world + violence. + We + remove + content + and + may + escalate + to + law + enforcement + when   we - ask - everyone + perceive + a + genuine + risk + of + physical + harm, + or + a + direct + threat   to - respect + public + safety. + We + also + prohibit + promoting, + planning + or + celebrating + any + of + your + actions + if - the + they ?    +
 - following - content - standards: + have, + or + could, + result + in + financial + harm + to + others, + including + theft + and + vandalism."
modified/added,1,0.0,Threats We want our members to feel safe on the site. Any credible threats to harm others will be removed. We may also remove support for violent organizations.,"Facebook Community Standards Facebook gives people around the world the power to publish their own stories, see the world through the eyes of many other people, and connect and share wherever they go. The conversation that happens on Facebook – and the opinions expressed here – mirror the diversity of the people using Facebook. To balance the needs and interests of a global population, Facebook protects expression that meets the community standards outlined on this page. Please review these standards. They will help you understand what type of expression is acceptable, and what type of content may be reported and removed. Violence and Threats Safety is Facebook's top priority. You may not credibly threaten to harm others, or organize acts of real-world violence. We remove content and may escalate to law enforcement when we perceive a genuine risk of physical harm, or a direct threat to public safety. We also prohibit promoting, planning or celebrating any of your actions if they have, or could, result in financial harm to others, including theft and vandalism.",0.539,"+ Facebook + Community + Standards + Facebook + gives + people + around + the + world + the + power + to + publish + their + own + stories, + see + the + world + through + the + eyes + of + many + other + people, + and + connect + and + share + wherever + they + go. + The + conversation + that + happens + on + Facebook + – + and + the + opinions + expressed + here + – + mirror + the + diversity + of + the + people + using + Facebook. + To + balance + the + needs + and + interests + of + a + global + population, + Facebook + protects + expression + that + meets + the + community + standards + outlined + on + this + page. + Please + review + these + standards. + They + will + help + you + understand + what + type + of + expression + is + acceptable, + and + what + type + of + content + may + be + reported + and + removed. + Violence + and   Threats + Safety + is + Facebook's - We - want - our - members - to + top ?   +
 + priority. + You + may + not - feel - safe - on - the - site. - Any - credible ?        ^
 + credibly ?        ^
 - threats ?       ^
 + threaten ?       ^^
   to   harm - others + others, ?       +
 - will - be - removed. + or + organize + acts + of + real-world + violence.   We + remove + content + and   may + escalate + to + law + enforcement + when + we + perceive + a + genuine + risk + of + physical + harm, + or + a + direct + threat + to + public + safety. + We   also - remove - support + prohibit + promoting, + planning - for ? -
 + or - violent - organizations. + celebrating + any + of + your + actions + if + they + have, + or + could, + result + in + financial + harm + to + others, + including + theft + and + vandalism."
modified/added,4,3.0,"Graphic Violence While we are a platform for sharing events that take place in your life and around the world, any inappropriately graphic content will be removed when found on the site. Sadistic displays of violence against people or animals, or depictions of sexual assault, are prohibited. Sex & Nudity We have a strict ""no nudity or pornography"" policy. Any content that is inappropriately sexual will be removed. Before posting questionable content, be mindful of the consequences for you and your environment. Theft, Vandalism, or Fraud We are trying to make the world a more open, connected, and ultimately better place. Organizing acts that harm others through theft, vandalism, or fraud is a violation of our terms. Identity & Privacy Facebook is a community where real people connect and share using their real identities. When you represent yourself accurately on Facebook you are helping to build trust and safety for everyone. Claiming to be someone else, creating multiple accounts, or falsely representing an organization undermines this trust and violates our terms. Please also refrain from publishing other people's personal information.","Graphic Violence People use Facebook to share events through photos and videos. We understand that graphic imagery is a regular component of current events, but must balance the needs of a diverse community. Sharing any graphic content for sadistic pleasure is prohibited. Nudity and Pornography Facebook has a strict policy against the sharing of pornographic content and imposes limitations on the display of nudity. At the same time, we aspire to respect people’s right to share content of personal importance, whether those are photos of a sculpture like Michelangelo's David or family photos of a child breastfeeding. Identity and Privacy On Facebook people connect and share using their real identities. This culture creates accountability and builds trust and safety for everyone. Claiming to be another person, creating multiple accounts, or falsely representing an organization undermines community and violates Facebook’s. Finally, you may not publish other people's personal information.",0.888,"  Graphic   Violence - While - we + People + use + Facebook + to - are + share ? ++
 + events + through + photos + and + videos. + We + understand + that + graphic + imagery + is   a - platform - for - sharing + regular + component + of + current - events + events, ?       +
 + but + must + balance - that - take - place - in - your - life - and - around   the - world, + needs + of + a + diverse + community. + Sharing   any - inappropriately   graphic   content - will - be - removed - when - found + for + sadistic + pleasure + is + prohibited. + Nudity + and + Pornography + Facebook + has + a + strict + policy + against + the + sharing + of + pornographic + content + and + imposes + limitations   on   the - site. - Sadistic - displays ?        -
 + display   of - violence - against + nudity. + At + the + same + time, + we + aspire + to + respect - people + people’s ?       ++
 + right + to + share + content + of + personal + importance, + whether + those + are + photos + of + a + sculpture + like + Michelangelo's + David   or + family + photos - animals, - or - depictions   of - sexual - assault, - are - prohibited. - Sex - & - Nudity - We - have   a + child + breastfeeding. + Identity - strict - ""no - nudity - or - pornography"" - policy. - Any - content - that - is - inappropriately - sexual - will - be - removed. - Before - posting - questionable - content, - be - mindful - of - the - consequences - for - you   and - your - environment. - Theft, - Vandalism, - or - Fraud - We - are - trying - to - make - the - world - a - more - open, - connected, - and - ultimately - better - place. - Organizing - acts - that - harm - others - through - theft, - vandalism, - or - fraud - is - a - violation - of - our - terms. - Identity - &   Privacy + On   Facebook - is - a - community - where - real   people   connect   and   share   using   their   real   identities. + This + culture + creates + accountability + and - When - you - represent - yourself - accurately - on - Facebook - you - are - helping - to - build + builds ?      +
   trust   and   safety   for   everyone.   Claiming   to   be - someone - else, + another + person,   creating   multiple   accounts,   or   falsely   representing   an   organization   undermines + community - this - trust   and   violates + Facebook’s. + Finally, + you + may + not - our - terms. - Please - also - refrain - from - publishing ?        ---
 + publish   other   people's   personal   information."
modified/added,13,12.0,Advertising ·,Advertising · Create a Page ·,0.735,  Advertising   · + Create + a + Page + ·
deleted,0,,"Facebook Community Standards Facebook is a global community where millions of people connect with each other. Each of these people represents unique opinions, ideals, and cultural values. Out of consideration for this diversity, we work to foster an environment where everyone can openly discuss issues and express their views, while respecting the rights of others. When millions of people get together to share things that are important to them, sometimes these discussions and posts include controversial topics and content. We believe this online dialog mirrors the exchange of ideas and opinions that happens throughout people's lives offline, in conversations at home, at work, in cafes, and in classrooms. As a trusted community of friends, family, coworkers, and classmates, Facebook is largely self-regulated. People who use Facebook can and do report content that they find questionable or offensive. To balance the needs and interests of a global community we ask everyone to respect the following content standards:",,0.761,
deleted,1,,Threats We want our members to feel safe on the site. Any credible threats to harm others will be removed. We may also remove support for violent organizations.,,0.539,
deleted,4,,"Graphic Violence While we are a platform for sharing events that take place in your life and around the world, any inappropriately graphic content will be removed when found on the site. Sadistic displays of violence against people or animals, or depictions of sexual assault, are prohibited. Sex & Nudity We have a strict ""no nudity or pornography"" policy. Any content that is inappropriately sexual will be removed. Before posting questionable content, be mindful of the consequences for you and your environment. Theft, Vandalism, or Fraud We are trying to make the world a more open, connected, and ultimately better place. Organizing acts that harm others through theft, vandalism, or fraud is a violation of our terms. Identity & Privacy Facebook is a community where real people connect and share using their real identities. When you represent yourself accurately on Facebook you are helping to build trust and safety for everyone. Claiming to be someone else, creating multiple accounts, or falsely representing an organization undermines this trust and violates our terms. Please also refrain from publishing other people's personal information.",,0.888,
deleted,13,,Advertising ·,,0.735,
