change_type,para_prev_idx,para_curr_idx,text_prev,text_curr,semantic_sim,token_diff
modified/added,8,14.0,Place,Places,0.82,"- Place + Places ?      +
"
modified/added,9,17.0,Celebryty,Celebrities,0.52,- Celebryty + Celebrities
modified/added,11,8.0,Instagram,Facebook Lite,0.473,- Instagram + Facebook + Lite
modified/added,12,26.0,Cookies Facebook ©2017,Cookies,0.73,  Cookies - Facebook - ©2017
deleted,8,,Place,,0.82,
deleted,9,,Celebryty,,0.52,
deleted,11,,Instagram,,0.473,
deleted,12,,Cookies Facebook ©2017,,0.73,
