version,origin,previous
capture_20110127_224041,1.0,
capture_20120307_061623,0.8652883172035217,0.8652883172035217
capture_20120830_210605,0.8652883172035217,0.9999999403953552
capture_20121120_162304,0.8655067682266235,0.9834167957305908
capture_20121215_025058,0.8655067682266235,1.0
capture_20130825_113648,0.8655067682266235,1.0
capture_20131120_075022,0.8655067682266235,1.0
capture_20140709_164833,0.8655067682266235,1.0
capture_20140805_123005,0.8655067682266235,1.0
capture_20150409_195319,0.8124275207519531,0.7871644496917725
capture_20150509_063556,0.8117566108703613,0.9955300688743591
capture_20160303_231108,0.8124275207519531,0.9955300688743591
capture_20161004_095041,0.8144277334213257,0.9553236961364746
capture_20161118_195212,0.769088625907898,0.8535276055335999
capture_20161121_231709,0.8080481290817261,0.8227865695953369
capture_20170118_070636,0.768663763999939,0.9041552543640137
capture_20170825_154149,0.8255283832550049,0.8865675330162048
capture_20171130_164500,0.811805009841919,0.9698008298873901
capture_20200530_194846,0.7882422208786011,0.8297144174575806
capture_20201127_095304,0.7966309785842896,0.9959005117416382
capture_20210908_123556,0.6467104554176331,0.6705889105796814
capture_20220306_064344,0.6321601867675781,0.9463292956352234
capture_20231116_183638,0.6402004957199097,0.8557232022285461
capture_20240529_041941,0.6429641246795654,0.9554112553596497
capture_20250128_030256,0.5968613028526306,0.9525911808013916
